VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,CONECTA CARGO,MG,Mario Campos,7
NÃO PARÇA,CONECTA CARGO,MG,Conselheiro Lafaiete,7
NÃO PARÇA,RIO - BULKYLOG,RJ,Paraty,7
NÃO PARÇA,CONECTA CARGO,SP,Sao Jose do Rio Pardo,7
NÃO PARÇA,CONECTA CARGO,SC,Guabiruba,7
NÃO PARÇA,CONECTA CARGO,SP,Ilhabela,7
NÃO PARÇA,CONECTA CARGO,SP,Franco da Rocha,7
NÃO PARÇA,CONECTA CARGO,SP,Penapolis,7
NÃO PARÇA,CONECTA CARGO,SP,Bebedouro,6
NÃO PARÇA,CONECTA CARGO,SP,Lencois Paulista,6
NÃO PARÇA,CONECTA CARGO,SP,Sao Roque,6
NÃO PARÇA,GRAVATAI - BULK,RS,Lajeado,6
NÃO PARÇA,CONECTA CARGO,SP,Pontal,6
NÃO PARÇA,CONECTA CARGO,SP,Barretos,6
NÃO PARÇA,VIANA - BULKY,RJ,Rio de Janeiro,6
NÃO PARÇA,CONECTA CARGO,SP,Itapira,6
NÃO PARÇA,CONECTA CARGO,SP,Aparecida,6
NÃO PARÇA,GRAVATAI - BULK,RS,Bento Goncalves,6
NÃO PARÇA,CONECTA CARGO,SP,Francisco Morato,6
NÃO PARÇA,CONECTA CARGO,SP,Ilha Comprida,6
NÃO PARÇA,CONECTA CARGO,SP,Sao Pedro,6
NÃO PARÇA,CONECTA CARGO,SP,Itarare,6
NÃO PARÇA,MG - DOMINALOG,RS,Alegrete,6
NÃO PARÇA,CONECTA CARGO,SC,Concordia,6
NÃO PARÇA,CONECTA CARGO,MG,Pouso Alegre,6
NÃO PARÇA,CONECTA CARGO,SP,Guararapes,6
NÃO PARÇA,CONECTA CARGO,SP,Santa Rita do Passa Quatro,6
NÃO PARÇA,CONECTA CARGO,MG,Mateus Leme,6
NÃO PARÇA,RIO - BULKYLOG,RJ,Paraiba do Sul,6
NÃO PARÇA,FAVORITA,GO,Vianopolis,6
NÃO PARÇA,CONECTA CARGO,SC,Lages,6
NÃO PARÇA,MG - DOMINALOG,RS,Santana do Livramento,6
NÃO PARÇA,CONECTA CARGO,SP,Santana de Parnaiba,6
NÃO PARÇA,CONECTA CARGO,MG,Pirapora,6
NÃO PARÇA,CONECTA CARGO,SP,Campos do Jordao,6
NÃO PARÇA,GRAVATAI - BULK,RS,Canela,6
NÃO PARÇA,MG - DOMINALOG,RS,Bage,6
NÃO PARÇA,CONECTA CARGO,SP,Taquaritinga,6
NÃO PARÇA,CONECTA CARGO,SP,Iguape,5
NÃO PARÇA,CONECTA CARGO,SP,Embu Guacu,5
NÃO PARÇA,GRAVATAI - BULK,RS,Xangri La,5
NÃO PARÇA,CONECTA CARGO,MG,Timoteo,5
NÃO PARÇA,CONECTA CARGO,SP,Monte Azul Paulista,5
NÃO PARÇA,CONECTA CARGO,SP,Ilha Solteira,5
NÃO PARÇA,CONECTA CARGO,SP,Dracena,5
NÃO PARÇA,CONECTA CARGO,MG,Ouro Preto,5
NÃO PARÇA,MG - DOMINALOG,BA,Ilheus,5
NÃO PARÇA,CONECTA CARGO,SP,Angatuba,5
NÃO PARÇA,CONECTA CARGO,SC,Guaramirim,5
NÃO PARÇA,MG - DOMINALOG,PR,Santo Antonio do Sudoeste,5
NÃO PARÇA,CONECTA CARGO,MG,Formiga,5
NÃO PARÇA,MG - DOMINALOG,RS,Tapejara,5
NÃO PARÇA,CONECTA CARGO,SC,Balneario Picarras,5
NÃO PARÇA,CONECTA CARGO,SP,Tremembe,5
NÃO PARÇA,CONECTA CARGO,SP,Monte Alto,5
NÃO PARÇA,CONECTA CARGO,SP,Orlandia,5
NÃO PARÇA,MG - DOMINALOG,PR,Marechal Candido Rondon,5
NÃO PARÇA,FAVORITA,GO,Jatai,5
NÃO PARÇA,CONECTA CARGO,MG,Teofilo Otoni,5
NÃO PARÇA,CONECTA CARGO,SC,Balneario Camboriu,5
NÃO PARÇA,GRAVATAI - BULK,RS,Tramandai,5
NÃO PARÇA,CONECTA CARGO,MG,Campo Belo,5
NÃO PARÇA,MG - DOMINALOG,PR,Imbau,5
NÃO PARÇA,CONECTA CARGO,MG,Coronel Fabriciano,5
NÃO PARÇA,MG - DOMINALOG,RS,Sao Gabriel,5
