VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,CONECTA CARGO,MG,Resende Costa,2
NÃO PARÇA,CONECTA CARGO,RJ,Quissama,2
NÃO PARÇA,MG - DOMINALOG,SC,Tijucas,2
NÃO PARÇA,CONECTA CARGO,MG,Coroaci,2
NÃO PARÇA,CONECTA CARGO,SP,Cajuru,2
NÃO PARÇA,MG - DOMINALOG,PR,Salto do Lontra,2
NÃO PARÇA,CONECTA CARGO,SP,Descalvado,2
NÃO PARÇA,CONECTA CARGO,RJ,Trajano de Moraes,2
NÃO PARÇA,MG - DOMINALOG,PE,Salgueiro,2
NÃO PARÇA,MG - DOMINALOG,BA,Mucuri,2
NÃO PARÇA,CONECTA CARGO,SP,Charqueada,2
NÃO PARÇA,MG - DOMINALOG,ES,Jeronimo Monteiro,2
NÃO PARÇA,GRAVATAI - BULK,RS,Arroio do Sal,2
NÃO PARÇA,CONECTA CARGO,MG,Mantena,2
NÃO PARÇA,FAVORITA,MS,Ribas do Rio Pardo,2
NÃO PARÇA,MG - DOMINALOG,CE,Eusebio,2
NÃO PARÇA,CONECTA CARGO,MG,Tres Coracoes,2
NÃO PARÇA,MG - DOMINALOG,PE,Sao Bento do Una,2
NÃO PARÇA,CONECTA CARGO,RJ,Itaocara,2
NÃO PARÇA,VIANA - BULKY,ES,Viana,2
NÃO PARÇA,MG - DOMINALOG,BA,Crisopolis,2
NÃO PARÇA,CONECTA CARGO,SP,Jacupiranga,2
NÃO PARÇA,MG - DOMINALOG,MA,Pinheiro,2
NÃO PARÇA,MG - DOMINALOG,PR,Ivate,2
NÃO PARÇA,MG - DOMINALOG,RS,Ibiruba,2
NÃO PARÇA,CONECTA CARGO,SP,Santo Antonio do Aracangua,2
NÃO PARÇA,MG - DOMINALOG,PI,Oeiras,2
NÃO PARÇA,GRAVATAI - BULK,RS,Torres,2
NÃO PARÇA,MG - DOMINALOG,RS,Carazinho,2
NÃO PARÇA,GRAVATAI - BULK,RS,Imbe,2
NÃO PARÇA,MG - DOMINALOG,AL,Piranhas,2
NÃO PARÇA,MG - DOMINALOG,RS,Ijui,2
NÃO PARÇA,MG - DOMINALOG,BA,Santa Maria da Vitoria,2
NÃO PARÇA,MG - DOMINALOG,MA,Ze Doca,2
NÃO PARÇA,CONECTA CARGO,SP,Mococa,2
NÃO PARÇA,MG - DOMINALOG,ES,Alfredo Chaves,2
NÃO PARÇA,FAVORITA,GO,aguas Lindas de Goias,2
NÃO PARÇA,MG - DOMINALOG,BA,Iraquara,2
NÃO PARÇA,CONECTA CARGO,MG,aguas Vermelhas,2
NÃO PARÇA,FAVORITA,MT,Primavera do Leste,2
NÃO PARÇA,MG - DOMINALOG,RS,Tres Passos,2
NÃO PARÇA,CONECTA CARGO,MG,Mar de Espanha,2
NÃO PARÇA,MG - DOMINALOG,SE,Umbauba,2
NÃO PARÇA,CONECTA CARGO,SP,Pederneiras,2
NÃO PARÇA,MG - DOMINALOG,ES,Presidente Kennedy,2
NÃO PARÇA,CONECTA CARGO,SP,Martinopolis,2
NÃO PARÇA,GRAVATAI - BULK,RS,Ararica,2
NÃO PARÇA,MG - DOMINALOG,BA,Ituacu,2
NÃO PARÇA,CONECTA CARGO,SC,Icara,2
NÃO PARÇA,CONECTA CARGO,MG,Santos Dumont,2
NÃO PARÇA,MG - DOMINALOG,PR,Realeza,2
NÃO PARÇA,CONECTA CARGO,MG,Bom Despacho,2
NÃO PARÇA,FAVORITA,MT,Santa Carmem,2
NÃO PARÇA,MG - DOMINALOG,ES,Muqui,2
NÃO PARÇA,MG - DOMINALOG,RN,Montanhas,2
NÃO PARÇA,MG - DOMINALOG,SE,Itaporanga DAjuda,2
NÃO PARÇA,CONECTA CARGO,SP,Tambau,2
NÃO PARÇA,MG - DOMINALOG,PR,Candido de Abreu,2
NÃO PARÇA,CONECTA CARGO,SC,Indaial,2
NÃO PARÇA,BLZ,SC,Brusque,2
NÃO PARÇA,CONECTA CARGO,SP,Sao Manuel,2
NÃO PARÇA,MG - DOMINALOG,RS,Vacaria,2
NÃO PARÇA,MG - DOMINALOG,ES,Castelo,2
NÃO PARÇA,MG - DOMINALOG,CE,Aracoiaba,2
NÃO PARÇA,MG - DOMINALOG,SE,Poco Verde,2
NÃO PARÇA,MG - DOMINALOG,CE,Paracuru,2
NÃO PARÇA,MG - DOMINALOG,PR,Balsa Nova,2
NÃO PARÇA,MG - DOMINALOG,ES,Santa Teresa,2
NÃO PARÇA,CONECTA CARGO,SP,Guzolandia,2
NÃO PARÇA,CONECTA CARGO,MG,Januaria,2
NÃO PARÇA,CONECTA CARGO,SP,Ouroeste,2
NÃO PARÇA,MG - DOMINALOG,RS,Marau,2
NÃO PARÇA,FAVORITA,PA,Parauapebas,2
NÃO PARÇA,CONECTA CARGO,MG,Mariana,2
NÃO PARÇA,MG - DOMINALOG,PR,Santa Helena,2
NÃO PARÇA,CONECTA CARGO,SP,Cachoeira Paulista,2
NÃO PARÇA,CONECTA CARGO,MG,Raul Soares,2
NÃO PARÇA,CONECTA CARGO,MG,Itabira,2
NÃO PARÇA,MG - DOMINALOG,RS,Toropi,2
NÃO PARÇA,CONECTA CARGO,SP,Pedregulho,2
NÃO PARÇA,BULKY LOG - JUN,SP,Serra Negra,2
NÃO PARÇA,CONECTA CARGO,SP,Ituverava,2
NÃO PARÇA,ARUJA - BULKY,SP,Santos,2
NÃO PARÇA,ARAPON-BULKY,PR,Ibipora,2
NÃO PARÇA,CONECTA CARGO,MG,Itajuba,2
NÃO PARÇA,FAVORITA,MT,Sao Jose do Rio Claro,2
NÃO PARÇA,CONECTA CARGO,SP,Potim,2
NÃO PARÇA,MG - DOMINALOG,ES,Nova Venecia,2
NÃO PARÇA,MG - DOMINALOG,BA,Itabela,2
NÃO PARÇA,CONECTA CARGO,SP,Itai,2
NÃO PARÇA,CONECTA CARGO,SP,Vargem,2
NÃO PARÇA,CONECTA CARGO,SP,Bady Bassitt,2
NÃO PARÇA,MG - DOMINALOG,BA,Mata de Sao Joao,2
NÃO PARÇA,MG - DOMINALOG,ES,Iconha,2
NÃO PARÇA,CONECTA CARGO,SP,Urupes,2
NÃO PARÇA,CONECTA CARGO,SC,Tijucas,2
NÃO PARÇA,MG - DOMINALOG,PR,Quatigua,2
NÃO PARÇA,CONECTA CARGO,SC,Urubici,2
NÃO PARÇA,MG - DOMINALOG,SE,Boquim,2
NÃO PARÇA,CONECTA CARGO,MG,Lavras,2
NÃO PARÇA,MG - DOMINALOG,RS,Tres Cachoeiras,2
NÃO PARÇA,MG - DOMINALOG,AL,Coruripe,2
NÃO PARÇA,MG - DOMINALOG,PE,Cabo de Santo Agostinho,2
NÃO PARÇA,CONECTA CARGO,SC,Porto Uniao,2
NÃO PARÇA,MG - DOMINALOG,RS,Itaqui,2
NÃO PARÇA,MG - DOMINALOG,CE,Icapui,2
NÃO PARÇA,CONECTA CARGO,MG,Itatiaiucu,2
NÃO PARÇA,BULKY LOG - JUN,SP,Piracicaba,2
NÃO PARÇA,FAVORITA,MS,Sonora,2
NÃO PARÇA,CONECTA CARGO,SC,Tres Barras,2
NÃO PARÇA,CONECTA CARGO,SP,Santa Cruz do Rio Pardo,2
NÃO PARÇA,MG - DOMINALOG,RS,Charqueadas,2
NÃO PARÇA,MG - DOMINALOG,PR,Santa Tereza do Oeste,2
NÃO PARÇA,MG - DOMINALOG,BA,Condeuba,2
NÃO PARÇA,CONECTA CARGO,SP,Barra Bonita,2
NÃO PARÇA,CONECTA CARGO,MG,Varginha,2
NÃO PARÇA,MG - DOMINALOG,RS,Pinto Bandeira,2
NÃO PARÇA,MG - DOMINALOG,ES,Marechal Floriano,2
NÃO PARÇA,MG - DOMINALOG,ES,Atilio Vivacqua,2
NÃO PARÇA,MG - DOMINALOG,RS,Butia,2
NÃO PARÇA,CONECTA CARGO,MG,Perdizes,2
NÃO PARÇA,CONECTA CARGO,SP,Bananal,2
NÃO PARÇA,CONECTA CARGO,MG,Conselheiro Pena,2
NÃO PARÇA,CONECTA CARGO,MG,Santa Margarida,2
NÃO PARÇA,MG - DOMINALOG,RS,Horizontina,2
NÃO PARÇA,MG - DOMINALOG,CE,Itaitinga,2
NÃO PARÇA,MG - DOMINALOG,PB,Alhandra,2
NÃO PARÇA,MG - DOMINALOG,PR,Coronel Domingos Soares,2
NÃO PARÇA,MG - DOMINALOG,PR,Francisco Beltrao,2
NÃO PARÇA,CONECTA CARGO,MG,Pocos de Caldas,2
NÃO PARÇA,FAVORITA,GO,Alto Paraiso de Goias,2
NÃO PARÇA,FAVORITA,GO,Inhumas,2
NÃO PARÇA,MG - DOMINALOG,ES,Vargem Alta,2
NÃO PARÇA,MG - DOMINALOG,BA,Itagi,2
NÃO PARÇA,CAMPOS - NFC,SP,Sao Jose dos Campos,2
NÃO PARÇA,CONECTA CARGO,SP,Itapolis,2
NÃO PARÇA,MG - DOMINALOG,ES,Linhares,2
NÃO PARÇA,CONECTA CARGO,SC,Rio Negrinho,2
NÃO PARÇA,MG - DOMINALOG,PR,Jaguariaiva,2
NÃO PARÇA,MG - DOMINALOG,AL,Delmiro Gouveia,2
NÃO PARÇA,MG - DOMINALOG,BA,Sao Jose do Jacuipe,2
NÃO PARÇA,CONECTA CARGO,MG,Oliveira,2
NÃO PARÇA,CONECTA CARGO,MG,Mamonas,2
NÃO PARÇA,MG - DOMINALOG,BA,Pilao Arcado,2
NÃO PARÇA,MG - DOMINALOG,PR,Lapa,2
NÃO PARÇA,BENTO ENCOMENDA,SP,Indaiatuba,2
NÃO PARÇA,MG - DOMINALOG,CE,Crateus,2
NÃO PARÇA,BULKY LOG - JUN,SP,Saltinho,2
NÃO PARÇA,CONECTA CARGO,SP,Conchas,2
NÃO PARÇA,MG - DOMINALOG,CE,Tabuleiro do Norte,2
NÃO PARÇA,MG - DOMINALOG,MA,Itapecuru Mirim,2
NÃO PARÇA,MG - DOMINALOG,PR,Imbituva,2
NÃO PARÇA,CONECTA CARGO,SC,Pomerode,2
NÃO PARÇA,CONECTA CARGO,MG,Cambui,2
NÃO PARÇA,CONECTA CARGO,SP,Itapui,2
NÃO PARÇA,CONECTA CARGO,SP,Bariri,2
NÃO PARÇA,CONECTA CARGO,MG,Joao Pinheiro,2
NÃO PARÇA,CONECTA CARGO,SP,Sao Miguel Arcanjo,2
NÃO PARÇA,MG - DOMINALOG,RS,Cerro Largo,2
NÃO PARÇA,MG - DOMINALOG,RS,Sao Jose do Norte,2
NÃO PARÇA,CONECTA CARGO,SP,Tabatinga,2
NÃO PARÇA,MG - DOMINALOG,BA,Ibipeba,2
NÃO PARÇA,MG - DOMINALOG,BA,Guanambi,2
NÃO PARÇA,MG - DOMINALOG,CE,Limoeiro do Norte,2
NÃO PARÇA,CONECTA CARGO,MG,Turmalina,2
NÃO PARÇA,CONECTA CARGO,SP,Lindoia,2
NÃO PARÇA,MG - DOMINALOG,RS,Tres de Maio,2
NÃO PARÇA,CONECTA CARGO,SC,Palmitos,2
NÃO PARÇA,CONECTA CARGO,MG,Florestal,2
NÃO PARÇA,CONECTA CARGO,SP,Brodowski,2
NÃO PARÇA,CONECTA CARGO,SP,Pauliceia,2
NÃO PARÇA,CONECTA CARGO,SP,Sabino,2
NÃO PARÇA,CONECTA CARGO,MG,Sao Sebastiao do Anta,2
NÃO PARÇA,CONECTA CARGO,SP,Miracatu,2
NÃO PARÇA,MG - DOMINALOG,RS,Sao Borja,2
NÃO PARÇA,CONECTA CARGO,SP,Gaviao Peixoto,2
NÃO PARÇA,CONECTA CARGO,SC,Xaxim,2
NÃO PARÇA,VIANA - BULKY,SP,Sao Paulo,2
NÃO PARÇA,CONECTA CARGO,SC,Gaspar,2
NÃO PARÇA,CONECTA CARGO,SP,Cardoso,2
NÃO PARÇA,MG - DOMINALOG,RN,Pau dos Ferros,2
NÃO PARÇA,MG - DOMINALOG,PE,Orobo,2
NÃO PARÇA,MG - DOMINALOG,PI,Barro Duro,2
NÃO PARÇA,MG - DOMINALOG,PI,Floriano,2
NÃO PARÇA,MG - DOMINALOG,RS,Agudo,2
NÃO PARÇA,MG - DOMINALOG,PR,Uniao da Vitoria,2
NÃO PARÇA,MG - DOMINALOG,BA,Canavieiras,2
NÃO PARÇA,CONECTA CARGO,MG,Sao Pedro da Uniao,2
NÃO PARÇA,MG - DOMINALOG,AL,Pilar,2
NÃO PARÇA,CONECTA CARGO,MG,Porto Firme,2
NÃO PARÇA,MG - DOMINALOG,RS,Picada Cafe,2
NÃO PARÇA,FAVORITA,MT,Barra do Garcas,2
NÃO PARÇA,MG - DOMINALOG,RN,Sao Miguel,2
NÃO PARÇA,BLZ,RS,Porto Alegre,2
NÃO PARÇA,CONECTA CARGO,SP,Rubineia,2
NÃO PARÇA,MG - DOMINALOG,BA,Ipiau,2
NÃO PARÇA,CONECTA CARGO,SP,Adamantina,2
NÃO PARÇA,CONECTA CARGO,SP,Potirendaba,1
NÃO PARÇA,MG - DOMINALOG,PI,Sao Francisco de Assis do Piaui,1
NÃO PARÇA,MG - DOMINALOG,PR,Agudos do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Uniao Paulista,1
NÃO PARÇA,MG - DOMINALOG,PE,Gloria do Goita,1
NÃO PARÇA,MG - DOMINALOG,AL,Pariconha,1
NÃO PARÇA,MG - DOMINALOG,PI,Valenca do Piaui,1
NÃO PARÇA,MG - DOMINALOG,RS,Fontoura Xavier,1
NÃO PARÇA,VENKON - NE,MA,Barreirinhas,1
NÃO PARÇA,CONECTA CARGO,SP,Campina do Monte Alegre,1
NÃO PARÇA,CONECTA CARGO,MG,Muzambinho,1
NÃO PARÇA,CONECTA CARGO,MG,Uniao de Minas,1
NÃO PARÇA,MG - DOMINALOG,AL,Palestina,1
NÃO PARÇA,FAVORITA,GO,Goiatuba,1
NÃO PARÇA,MG - DOMINALOG,BA,Itatim,1
NÃO PARÇA,FAVORITA,GO,Silvania,1
NÃO PARÇA,CONECTA CARGO,MG,Grao Mogol,1
NÃO PARÇA,MG - DOMINALOG,RN,Acu,1
NÃO PARÇA,NFC,SP,Sao Jose dos Campos,1
NÃO PARÇA,MG - DOMINALOG,PR,Nova Prata do Iguacu,1
NÃO PARÇA,CONECTA CARGO,MG,Congonhas do Norte,1
NÃO PARÇA,MG - DOMINALOG,MA,Barra do Corda,1
NÃO PARÇA,CONECTA CARGO,MG,Itabirito,1
NÃO PARÇA,MG - DOMINALOG,CE,Crato,1
NÃO PARÇA,CONECTA CARGO,MG,Pedralva,1
NÃO PARÇA,FAVORITA,GO,Niquelandia,1
NÃO PARÇA,MG - DOMINALOG,BA,Serrolandia,1
NÃO PARÇA,MG - DOMINALOG,PE,Serrita,1
NÃO PARÇA,MG - DOMINALOG,PI,Buriti dos Lopes,1
NÃO PARÇA,MG - DOMINALOG,MA,Sao Joao dos Patos,1
NÃO PARÇA,CONECTA CARGO,MG,Entre Folhas,1
NÃO PARÇA,MG - DOMINALOG,PR,Terra Roxa,1
NÃO PARÇA,CONECTA CARGO,RJ,Santo Antonio de Padua,1
NÃO PARÇA,BULKY LOG - JUN,SP,Valinhos,1
NÃO PARÇA,CONECTA CARGO,SP,Itobi,1
NÃO PARÇA,MG - DOMINALOG,SE,Nossa Senhora do Socorro,1
NÃO PARÇA,MG - DOMINALOG,BA,Ibiassuce,1
NÃO PARÇA,MG - DOMINALOG,AL,Sao Bras,1
NÃO PARÇA,MG - DOMINALOG,MG,Esmeraldas,1
NÃO PARÇA,CONECTA CARGO,SC,Videira,1
NÃO PARÇA,MG - DOMINALOG,BA,Manoel Vitorino,1
NÃO PARÇA,CONECTA CARGO,SP,Taiacu,1
NÃO PARÇA,CONECTA CARGO,MG,Tumiritinga,1
NÃO PARÇA,MG - DOMINALOG,RN,Sao Jose de Mipibu,1
NÃO PARÇA,CONECTA CARGO,MG,Ponto dos Volantes,1
NÃO PARÇA,CONECTA CARGO,SC,Botuvera,1
NÃO PARÇA,MG - DOMINALOG,SE,Tobias Barreto,1
NÃO PARÇA,CONECTA CARGO,MG,Bocaiuva,1
NÃO PARÇA,SALVADOR-BULKY,PE,Santa Cruz do Capibaribe,1
NÃO PARÇA,CONECTA CARGO,SP,Rifaina,1
NÃO PARÇA,GRAVATAI - BULK,RS,Morro Reuter,1
NÃO PARÇA,MG - DOMINALOG,MA,Santa Rita,1
NÃO PARÇA,MG - DOMINALOG,RN,Lagoa de Pedras,1
NÃO PARÇA,MG - DOMINALOG,RS,Santo Antonio do Palma,1
NÃO PARÇA,MG - DOMINALOG,CE,Jaguaribara,1
NÃO PARÇA,MG - DOMINALOG,PE,Brejo da Madre de Deus,1
NÃO PARÇA,FAVORITA,MS,Maracaju,1
NÃO PARÇA,CONECTA CARGO,MG,Araujos,1
NÃO PARÇA,ARUJA - BULKY,SP,Poa,1
NÃO PARÇA,MG - DOMINALOG,SE,Frei Paulo,1
NÃO PARÇA,CONECTA CARGO,SC,Papanduva,1
NÃO PARÇA,CONECTA CARGO,SP,Narandiba,1
NÃO PARÇA,MG - DOMINALOG,BA,Tapiramuta,1
NÃO PARÇA,MG - DOMINALOG,PI,Monsenhor Hipolito,1
NÃO PARÇA,MG - DOMINALOG,BA,Barra do Choca,1
NÃO PARÇA,MG - DOMINALOG,RN,Umarizal,1
NÃO PARÇA,MG - DOMINALOG,RS,Antonio Prado,1
NÃO PARÇA,MG - DOMINALOG,PE,Sao Jose da Coroa Grande,1
NÃO PARÇA,MG - DOMINALOG,PR,Reserva do Iguacu,1
NÃO PARÇA,MG - DOMINALOG,BA,Tanhacu,1
NÃO PARÇA,MG - DOMINALOG,PR,Engenheiro Beltrao,1
NÃO PARÇA,MG - DOMINALOG,RS,Ivoti,1
NÃO PARÇA,VIANA - BULKY,RJ,Arraial do Cabo,1
NÃO PARÇA,CONECTA CARGO,MG,Barra Longa,1
NÃO PARÇA,CONECTA CARGO,SP,Anhembi,1
NÃO PARÇA,MG - DOMINALOG,RS,Minas do Leao,1
NÃO PARÇA,MG - DOMINALOG,BA,Coribe,1
NÃO PARÇA,MG - DOMINALOG,MA,Buriticupu,1
NÃO PARÇA,CONECTA CARGO,MG,Presidente Bernardes,1
NÃO PARÇA,MG - DOMINALOG,MA,Carutapera,1
NÃO PARÇA,MG - DOMINALOG,PB,Sousa,1
NÃO PARÇA,MG - DOMINALOG,BA,Paramirim,1
NÃO PARÇA,FATELOG,SP,Louveira,1
NÃO PARÇA,MG - DOMINALOG,PR,Cantagalo,1
NÃO PARÇA,VENKON - NE,BA,Vitoria da Conquista,1
NÃO PARÇA,FAVORITA,MT,Nova Canaa do Norte,1
NÃO PARÇA,CONECTA CARGO,SP,Queluz,1
NÃO PARÇA,CONECTA CARGO,SP,Terra Roxa,1
NÃO PARÇA,CONECTA CARGO,SP,Sao Luiz do Paraitinga,1
NÃO PARÇA,MG - DOMINALOG,PR,Corumbatai do Sul,1
NÃO PARÇA,FAVORITA,MS,Ladario,1
NÃO PARÇA,GRAVATAI - BULK,RS,Salvador do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Macatuba,1
NÃO PARÇA,CONECTA CARGO,SC,Forquilhinha,1
NÃO PARÇA,CONECTA CARGO,SP,Osvaldo Cruz,1
NÃO PARÇA,CONECTA CARGO,SP,Rafard,1
NÃO PARÇA,CONECTA CARGO,SP,Areiopolis,1
NÃO PARÇA,CONECTA CARGO,MG,Mendes Pimentel,1
NÃO PARÇA,FAVORITA,MT,Jangada,1
NÃO PARÇA,CONECTA CARGO,SC,Braco do Trombudo,1
NÃO PARÇA,CONECTA CARGO,MG,Rio Pomba,1
NÃO PARÇA,MG - DOMINALOG,SC,Florianopolis,1
NÃO PARÇA,FAVORITA,MS,Inocencia,1
NÃO PARÇA,TOTAL EXPRESS,RJ,Saquarema,1
NÃO PARÇA,BULKY LOG - JUN,SP,Jaguariuna,1
NÃO PARÇA,CONECTA CARGO,SP,Torre de Pedra,1
NÃO PARÇA,FATELOG,SP,Tatui,1
NÃO PARÇA,FAVORITA,MT,Juina,1
NÃO PARÇA,GRAVATAI - BULK,RS,Porto Alegre,1
NÃO PARÇA,FAVORITA,GO,Novo Gama,1
NÃO PARÇA,CONECTA CARGO,SP,Cananeia,1
NÃO PARÇA,MG - DOMINALOG,BA,Amargosa,1
NÃO PARÇA,MG - DOMINALOG,RN,Japi,1
NÃO PARÇA,BULKY LOG - JUN,SP,Franca,1
NÃO PARÇA,MG - DOMINALOG,BA,Itiuba,1
NÃO PARÇA,MG - DOMINALOG,PB,Sobrado,1
NÃO PARÇA,MG - DOMINALOG,PR,Sulina,1
NÃO PARÇA,MG - DOMINALOG,RN,Rafael Godeiro,1
NÃO PARÇA,VIANA - BULKY,SP,Cruzeiro,1
NÃO PARÇA,MG - DOMINALOG,PE,Condado,1
NÃO PARÇA,CONECTA CARGO,MG,Bela Vista de Minas,1
NÃO PARÇA,MG - DOMINALOG,PI,Sao Goncalo do Piaui,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Vicente de Minas,1
NÃO PARÇA,MG - DOMINALOG,PE,Sao Jose do Egito,1
NÃO PARÇA,CONECTA CARGO,SP,Itariri,1
NÃO PARÇA,FAVORITA,GO,Morrinhos,1
NÃO PARÇA,MG - DOMINALOG,AL,Tanque DArca,1
NÃO PARÇA,MG - DOMINALOG,BA,Barro Alto,1
NÃO PARÇA,FAVORITA,MS,Bataypora,1
NÃO PARÇA,MG - DOMINALOG,MA,Santa Quiteria do Maranhao,1
NÃO PARÇA,CONECTA CARGO,SP,Jaborandi,1
NÃO PARÇA,CONECTA CARGO,MG,Coluna,1
NÃO PARÇA,MG - DOMINALOG,RN,Lagoa Nova,1
NÃO PARÇA,MG - DOMINALOG,PB,Itatuba,1
NÃO PARÇA,MG - DOMINALOG,BA,Serra Dourada,1
NÃO PARÇA,MG - DOMINALOG,CE,Aratuba,1
NÃO PARÇA,MG - DOMINALOG,RS,Cacique Doble,1
NÃO PARÇA,MG - DOMINALOG,PE,Jupi,1
NÃO PARÇA,MG - DOMINALOG,PB,Cajazeiras,1
NÃO PARÇA,MG - DOMINALOG,PE,Altinho,1
NÃO PARÇA,MG - DOMINALOG,BA,Wanderley,1
NÃO PARÇA,MG - DOMINALOG,RN,Major Sales,1
NÃO PARÇA,FAVORITA,PA,Abel Figueiredo,1
NÃO PARÇA,CONECTA CARGO,SP,Palmital,1
NÃO PARÇA,MG - DOMINALOG,PE,Calumbi,1
NÃO PARÇA,FAVORITA,RO,Candeias do Jamari,1
NÃO PARÇA,CONECTA CARGO,SP,Miguelopolis,1
NÃO PARÇA,MG - DOMINALOG,BA,Iguai,1
NÃO PARÇA,CONECTA CARGO,MG,Matias Cardoso,1
NÃO PARÇA,MG - DOMINALOG,CE,Ararenda,1
NÃO PARÇA,CONECTA CARGO,SP,Apiai,1
NÃO PARÇA,CONECTA CARGO,SP,Guapiacu,1
NÃO PARÇA,MG - DOMINALOG,RS,Colorado,1
NÃO PARÇA,CONECTA CARGO,MG,Taquaracu de Minas,1
NÃO PARÇA,BULKY LOG - JUN,SP,Braganca Paulista,1
NÃO PARÇA,MG - DOMINALOG,BA,Boa Nova,1
NÃO PARÇA,CONECTA CARGO,MG,Mata Verde,1
NÃO PARÇA,MG - DOMINALOG,PI,Campo Maior,1
NÃO PARÇA,MG - DOMINALOG,RS,Estacao,1
NÃO PARÇA,MG - DOMINALOG,MA,Codo,1
NÃO PARÇA,MG - DOMINALOG,SE,Campo do Brito,1
NÃO PARÇA,FCB - TRANSPORT,SP,Sao Jose do Rio Preto,1
NÃO PARÇA,FAVORITA,MS,Selviria,1
NÃO PARÇA,BETIM - BULKY L,MG,Nova Lima,1
NÃO PARÇA,MG - DOMINALOG,RS,Amaral Ferrador,1
NÃO PARÇA,VIANA - BULKY,RJ,Barra Mansa,1
NÃO PARÇA,MG - DOMINALOG,RS,Caraa,1
NÃO PARÇA,ARAPON-BULKY,PR,Maringa,1
NÃO PARÇA,MG - DOMINALOG,CE,Nova Russas,1
NÃO PARÇA,CONECTA CARGO,MG,Confins,1
NÃO PARÇA,MG - DOMINALOG,BA,Casa Nova,1
NÃO PARÇA,CONECTA CARGO,SP,Barbosa,1
NÃO PARÇA,MG - DOMINALOG,CE,Sao Luis do Curu,1
NÃO PARÇA,CONECTA CARGO,SP,Socorro,1
NÃO PARÇA,BULKY MAUA,SP,Santos,1
NÃO PARÇA,CONECTA CARGO,MG,Dionisio,1
NÃO PARÇA,MG - DOMINALOG,MA,Maracacume,1
NÃO PARÇA,CONECTA CARGO,MG,Mutum,1
NÃO PARÇA,CONECTA CARGO,SP,Pardinho,1
NÃO PARÇA,MG - DOMINALOG,BA,Barra da Estiva,1
NÃO PARÇA,MG - DOMINALOG,MA,Passagem Franca,1
NÃO PARÇA,MG - DOMINALOG,AL,Piacabucu,1
NÃO PARÇA,CONECTA CARGO,MG,Itaobim,1
NÃO PARÇA,GRAVATAI - BULK,RS,Tres Coroas,1
NÃO PARÇA,CONECTA CARGO,SC,Jabora,1
NÃO PARÇA,FAVORITA,MS,Nova Alvorada do Sul,1
NÃO PARÇA,MG - DOMINALOG,ES,Itapemirim,1
NÃO PARÇA,MG - DOMINALOG,ES,Pedro Canario,1
NÃO PARÇA,MG - DOMINALOG,PR,Porto Amazonas,1
NÃO PARÇA,FAVORITA,MS,Eldorado,1
NÃO PARÇA,MG - DOMINALOG,PR,Nova Alianca do Ivai,1
NÃO PARÇA,MG - DOMINALOG,BA,Abaira,1
NÃO PARÇA,CONECTA CARGO,MG,Augusto de Lima,1
NÃO PARÇA,MG - DOMINALOG,PR,Marquinho,1
NÃO PARÇA,CONECTA CARGO,MG,Teixeiras,1
NÃO PARÇA,MG - DOMINALOG,CE,Brejo Santo,1
NÃO PARÇA,MG - DOMINALOG,CE,Varzea Alegre,1
NÃO PARÇA,MG - DOMINALOG,BA,Elisio Medrado,1
NÃO PARÇA,ARUJA - BULKY,SP,Aruja,1
NÃO PARÇA,MG - DOMINALOG,CE,Barreira,1
NÃO PARÇA,MG - DOMINALOG,BA,Itaparica,1
NÃO PARÇA,BULKY LOG - JUN,SE,Itabaiana,1
NÃO PARÇA,CONECTA CARGO,SP,Poloni,1
NÃO PARÇA,MG - DOMINALOG,SE,Canhoba,1
NÃO PARÇA,CONECTA CARGO,MG,Fruta de Leite,1
NÃO PARÇA,FAVORITA,GO,Portelandia,1
NÃO PARÇA,MG - DOMINALOG,SE,Itabaianinha,1
NÃO PARÇA,CONECTA CARGO,MG,Novo Cruzeiro,1
NÃO PARÇA,MG - DOMINALOG,CE,Taua,1
NÃO PARÇA,MG - DOMINALOG,BA,Floresta Azul,1
NÃO PARÇA,CONECTA CARGO,SP,Canitar,1
NÃO PARÇA,CONECTA CARGO,SP,Jaci,1
NÃO PARÇA,CONECTA CARGO,ES,Guacui,1
NÃO PARÇA,MG - DOMINALOG,PR,Lobato,1
NÃO PARÇA,CONECTA CARGO,MG,Leopoldina,1
NÃO PARÇA,CONECTA CARGO,SP,Quata,1
NÃO PARÇA,MG - DOMINALOG,AL,Penedo,1
NÃO PARÇA,MG - DOMINALOG,BA,Ubata,1
NÃO PARÇA,MG - DOMINALOG,BA,Cafarnaum,1
NÃO PARÇA,MG - DOMINALOG,PE,Santa Filomena,1
NÃO PARÇA,MG - DOMINALOG,BA,Santana,1
NÃO PARÇA,CONECTA CARGO,SP,Itabera,1
NÃO PARÇA,FAVORITA,MT,Peixoto de Azevedo,1
NÃO PARÇA,CONECTA CARGO,MG,Belmiro Braga,1
NÃO PARÇA,CONECTA CARGO,SC,Timbe do Sul,1
NÃO PARÇA,MG - DOMINALOG,MA,Sao Mateus do Maranhao,1
NÃO PARÇA,CONECTA CARGO,SC,Campos Novos,1
