Estado;Cidade;Transportadora;Parça (Sim/Não)
MT;Nobres;FAVORITA;Não
MT;Nortelândia;FAVORITA;Não
MT;Nova Bandeirantes;FAVORITA;Não
MT;Nova Brasilândia;FAVORITA;Não
MT;Nova Xavantina;FAVORITA;Não
MT;Nova Guarita;FAVORITA;Não
MT;Nova Lacerda;FAVORITA;Não
MT;Nova Marilândia;FAVORITA;Não
MT;Nova Maringá;FAVORITA;Não
MT;Nova Monte Verde;FAVORITA;Não
MT;Nova Mutum;FAVORITA;Não
MT;Nova Olímpia;FAVORITA;Não
MT;Nova Ubiratã;FAVORITA;Não
MT;Tapurah;FAVORITA;Não
MT;Novo Horizonte do Norte;FAVORITA;Não
MT;Novo Mundo;FAVORITA;Não
MT;Porto dos Gaúchos;FAVORITA;Não
MT;Novo São Joaquim;FAVORITA;Não
MT;Paranaíta;FAVORITA;Não
MT;Paranatinga;FAVORITA;Não
MT;Pedra Preta;FAVORITA;Não
MT;Peixoto de Azevedo;FAVORITA;Não
MT;Planalto da Serra;FAVORITA;Não
MT;Pontal do Araguaia;FAVORITA;Não
MT;Ponte Branca;FAVORITA;Não
MT;Pontes e Lacerda;FAVORITA;Não
MT;São Félix do Araguaia;FAVORITA;Não
MT;Porto Alegre do Norte;FAVORITA;Não
MT;Porto Esperidião;FAVORITA;Não
MT;Porto Estrela;FAVORITA;Não
MT;Primavera do Leste;FAVORITA;Não
MT;Tangará da Serra;FAVORITA;Não
MT;Querência;FAVORITA;Não
MT;Reserva do Cabaçal;FAVORITA;Não
MT;Ribeirão Cascalheira;FAVORITA;Não
MT;Ribeirãozinho;FAVORITA;Não
MT;Santa Carmem;FAVORITA;Não
MT;São José dos Quatro Marcos;FAVORITA;Não
MT;Santa Terezinha;FAVORITA;Não
MT;Vila Rica;FAVORITA;Não
MT;Santo Afonso;FAVORITA;Não
MT;Vale de São Domingos;FAVORITA;Não
MT;São José do Povo;FAVORITA;Não
MT;São José do Rio Claro;FAVORITA;Não
MT;São José do Xingu;FAVORITA;Não
MT;São Pedro da Cipa;FAVORITA;Não
MT;Sapezal;FAVORITA;Não
MT;Serra Nova Dourada;FAVORITA;Não
MT;Sinop;FAVORITA;Não
MT;Tabaporã;FAVORITA;Não
MT;Terra Nova do Norte;FAVORITA;Não
MT;Torixoréu;FAVORITA;Não
MT;União do Sul;FAVORITA;Não
MT;Vera;FAVORITA;Não
MT;Novo Santo Antônio;FAVORITA;Não
MT;Conquista D'Oeste;FAVORITA;Não
MT;Colniza;FAVORITA;Não
MT;Rondolândia;FAVORITA;Não
MT;Santa Rita do Trivelato;FAVORITA;Não
MT;Nova Santa Helena;FAVORITA;Não
MT;Santo Antônio do Leste;FAVORITA;Não
MT;Nova Nazaré;FAVORITA;Não
MT;Santa Cruz do Xingu;FAVORITA;Não
MT;Bom Jesus do Araguaia;FAVORITA;Não
MT;Ipiranga do Norte;FAVORITA;Não
MT;Itanhangá;FAVORITA;Não
MS;Rochedo;FAVORITA;Não
MS;Água Clara;FAVORITA;Não
MS;Corumbá;FAVORITA;Não
MS;Alcinópolis;FAVORITA;Não
MS;Paraíso das Águas;FAVORITA;Não
MS;Amambai;FAVORITA;Não
MS;Ivinhema;FAVORITA;Não
MS;Anastácio;FAVORITA;Não
MS;Anaurilândia;FAVORITA;Não
MS;Angélica;FAVORITA;Não
MS;Campo Grande;FAVORITA;Não
MS;Antônio João;FAVORITA;Não
MS;Aparecida do Taboado;FAVORITA;Não
MS;Aquidauana;FAVORITA;Não
MS;Aral Moreira;FAVORITA;Não
MS;Três Lagoas;FAVORITA;Não
MS;São Gabriel do Oeste;FAVORITA;Não
MS;Paranaíba;FAVORITA;Não
MS;Corguinho;FAVORITA;Não
MS;Ribas do Rio Pardo;FAVORITA;Não
MS;Bandeirantes;FAVORITA;Não
MS;Bataguassu;FAVORITA;Não
MS;Batayporã;FAVORITA;Não
MS;Costa Rica;FAVORITA;Não
MS;Bela Vista;FAVORITA;Não
MS;Douradina;FAVORITA;Não
MS;Laguna Carapã;FAVORITA;Não
MS;Bodoquena;FAVORITA;Não
MS;Jaraguari;FAVORITA;Não
MS;Bonito;FAVORITA;Não
MS;Jardim;FAVORITA;Não
MS;Brasilândia;FAVORITA;Não
MS;Caarapó;FAVORITA;Não
MS;Ponta Porã;FAVORITA;Não
MS;Camapuã;FAVORITA;Não
MS;Sidrolândia;FAVORITA;Não
MS;Caracol;FAVORITA;Não
MS;Itaporã;FAVORITA;Não
MS;Cassilândia;FAVORITA;Não
MS;Chapadão do Sul;FAVORITA;Não
MS;Coronel Sapucaia;FAVORITA;Não
MS;Coxim;FAVORITA;Não
MS;Fátima do Sul;FAVORITA;Não
MS;Deodápolis;FAVORITA;Não
MS;Dois Irmãos do Buriti;FAVORITA;Não
MS;Dourados;FAVORITA;Não
MS;Eldorado;FAVORITA;Não
MS;Figueirão;FAVORITA;Não
MS;Glória de Dourados;FAVORITA;Não
MS;Guia Lopes da Laguna;FAVORITA;Não
MS;Iguatemi;FAVORITA;Não
MS;Inocência;FAVORITA;Não
MS;Itaquiraí;FAVORITA;Não
MS;Japorã;FAVORITA;Não
MS;Jateí;FAVORITA;Não
MS;Rio Verde de Mato Grosso;FAVORITA;Não
MS;Jutí;FAVORITA;Não
MS;Ladário;FAVORITA;Não
MS;Maracaju;FAVORITA;Não
MS;Miranda;FAVORITA;Não
MS;Mundo Novo;FAVORITA;Não
MS;Naviraí;FAVORITA;Não
MS;Nioaque;FAVORITA;Não
MS;Nova Alvorada do Sul;FAVORITA;Não
MS;Nova Andradina;FAVORITA;Não
MS;Rio Negro;FAVORITA;Não
MS;Novo Horizonte do Sul;FAVORITA;Não
MS;Paranhos;FAVORITA;Não
MS;Pedro Gomes;FAVORITA;Não
MS;Porto Murtinho;FAVORITA;Não
MS;Rio Brilhante;FAVORITA;Não
MS;Santa Rita do Pardo;FAVORITA;Não
MS;Vicentina;FAVORITA;Não
MS;Selvíria;FAVORITA;Não
MS;Sete Quedas;FAVORITA;Não
MS;Sonora;FAVORITA;Não
MS;Tacuru;FAVORITA;Não
MS;Taquarussu;FAVORITA;Não
MS;Terenos;FAVORITA;Não
MG;Abadia dos Dourados;AGMX OPORTUNIDA;Sim
MG;Abaeté;CONECTA CARGO;Não
MG;Rio Paranaíba;CONECTA CARGO;Não
MG;Leopoldina;CONECTA CARGO;Não
MG;Abre Campo;CONECTA CARGO;Não
MG;Alto Rio Doce;CONECTA CARGO;Não
MG;Acaiaca;CONECTA CARGO;Não
MG;Açucena;CONECTA CARGO;Não
MG;Itabirito;CONECTA CARGO;Não
MG;Botumirim;CONECTA CARGO;Não
MG;Água Boa;CONECTA CARGO;Não
MG;Comercinho;CONECTA CARGO;Não
MG;Água Comprida;CONECTA CARGO;Não
MG;Estrela Dalva;CONECTA CARGO;Não
MG;Aguanil;CONECTA CARGO;Não
MG;Conceição do Rio Verde;CONECTA CARGO;Não
MG;São Pedro dos Ferros;CONECTA CARGO;Não
MG;Águas Formosas;CONECTA CARGO;Não
MG;Águas Vermelhas;CONECTA CARGO;Não
MG;Aimorés;CONECTA CARGO;Não
MG;Aiuruoca;CONECTA CARGO;Não
MG;Alagoa;CONECTA CARGO;Não
MG;Albertina;CONECTA CARGO;Não
MG;Martinho Campos;CONECTA CARGO;Não
MG;Formiga;CONECTA CARGO;Não
MG;Conselheiro Pena;CONECTA CARGO;Não
MG;Coromandel;CONECTA CARGO;Não
MG;Simonésia;CONECTA CARGO;Não
MG;Além Paraíba;CONECTA CARGO;Não
MG;Iturama;CONECTA CARGO;Não
MG;Alfenas;MOVEIS CAMILO L;Sim
MG;Alfredo Vasconcelos;CONECTA CARGO;Não
MG;Jaboticatubas;CONECTA CARGO;Não
MG;Almenara;CONECTA CARGO;Não
MG;Alpercata;CONECTA CARGO;Não
MG;Alpinópolis;CONECTA CARGO;Não
MG;Alterosa;CONECTA CARGO;Não
MG;Alto Caparaó;CONECTA CARGO;Não
MG;Governador Valadares;CONECTA CARGO;Não
MG;Alto Jequitibá;CONECTA CARGO;Não
MG;Congonhas;CONECTA CARGO;Não
MG;Tapiraí;CONECTA CARGO;Não
MG;Coração de Jesus;CONECTA CARGO;Não
MG;Alvarenga;CONECTA CARGO;Não
MG;Alvinópolis;CONECTA CARGO;Não
MG;Carangola;CONECTA CARGO;Não
MG;Alvorada de Minas;CONECTA CARGO;Não
MG;Baldim;CONECTA CARGO;Não
MG;Araguari;AGMX OPORTUNIDA;Sim
MG;Ouro Preto;CONECTA CARGO;Não
MG;Amparo da Serra;CONECTA CARGO;Não
MG;Andradas;MOVEIS CAMILO L;Sim
MG;Andrelândia;CONECTA CARGO;Não
MG;Três Marias;CONECTA CARGO;Não
MG;Recreio;CONECTA CARGO;Não
MG;Angelândia;CONECTA CARGO;Não
MG;Brasília de Minas;CONECTA CARGO;Não
MG;Curvelo;CONECTA CARGO;Não
MG;Antônio Carlos;CONECTA CARGO;Não
MG;Antônio Dias;CONECTA CARGO;Não
MG;Caeté;OUTELETRO BH;Sim
MG;Franciscópolis;CONECTA CARGO;Não
MG;Antônio Prado de Minas;CONECTA CARGO;Não
MG;Igaratinga;CONECTA CARGO;Não
MG;Frutal;AGMX OPORTUNIDA;Sim
MG;Araçaí;CONECTA CARGO;Não
MG;Cataguases;CONECTA CARGO;Não
MG;Aracitaba;CONECTA CARGO;Não
MG;Araçuaí;CONECTA CARGO;Não
MG;Arantina;CONECTA CARGO;Não
MG;Araponga;CONECTA CARGO;Não
MG;Araporã;CONECTA CARGO;Não
MG;Arapuá;CONECTA CARGO;Não
MG;Araújos;CONECTA CARGO;Não
MG;Guapé;CONECTA CARGO;Não
MG;Araxá;AGMX OPORTUNIDA;Sim
MG;São João Del Rei;CONECTA CARGO;Não
MG;Arceburgo;CONECTA CARGO;Não
MG;Arcos;CONECTA CARGO;Não
MG;Areado;CONECTA CARGO;Não
MG;Ibiá;AGMX OPORTUNIDA;Sim
MG;Argirita;CONECTA CARGO;Não
MG;Aricanduva;CONECTA CARGO;Não
MG;Arinos;CONECTA CARGO;Não
MG;Pará de Minas;CONECTA CARGO;Não
MG;Pocrane;CONECTA CARGO;Não
MG;Astolfo Dutra;CONECTA CARGO;Não
MG;Ataléia;CONECTA CARGO;Não
MG;Augusto de Lima;CONECTA CARGO;Não
MG;Jacinto;CONECTA CARGO;Não
MG;Mateus Leme;CONECTA CARGO;Não
MG;Delfinópolis;CONECTA CARGO;Não
MG;Baependi;CONECTA CARGO;Não
MG;Uberaba;AGMX OPORTUNIDA;Sim
MG;Bertópolis;CONECTA CARGO;Não
MG;Bambuí;CONECTA CARGO;Não
MG;Bandeira;CONECTA CARGO;Não
MG;Bandeira do Sul;MOVEIS CAMILO L;Sim
MG;Mariana;CONECTA CARGO;Não
MG;Barão de Cocais;CONECTA CARGO;Não
MG;Barão de Monte Alto;CONECTA CARGO;Não
MG;Barbacena;CONECTA CARGO;Não
MG;Ipatinga;CONECTA CARGO;Não
MG;Mantena;CONECTA CARGO;Não
MG;Santa Bárbara;CONECTA CARGO;Não
MG;Barra Longa;CONECTA CARGO;Não
MG;Catuti;CONECTA CARGO;Não
MG;Janaúba;CONECTA CARGO;Não
MG;Grão Mogol;CONECTA CARGO;Não
MG;Barroso;CONECTA CARGO;Não
MG;Estrela do Indaiá;CONECTA CARGO;Não
MG;Bela Vista de Minas;CONECTA CARGO;Não
MG;Muriaé;CONECTA CARGO;Não
MG;Belmiro Braga;CONECTA CARGO;Não
MG;Belo Horizonte;OUTELETRO BH;Sim
MG;Belo Oriente;CONECTA CARGO;Não
MG;Teófilo Otoni;CONECTA CARGO;Não
MG;Belo Vale;CONECTA CARGO;Não
MG;Ubaí;CONECTA CARGO;Não
MG;Berilo;CONECTA CARGO;Não
MG;Berizal;CONECTA CARGO;Não
MG;Betim;OUTELETRO BH;Sim
MG;Bias Fortes;CONECTA CARGO;Não
MG;Bicas;CONECTA CARGO;Não
MG;Raul Soares;CONECTA CARGO;Não
MG;Biquinhas;CONECTA CARGO;Não
MG;Jeceaba;CONECTA CARGO;Não
MG;Boa Esperança;CONECTA CARGO;Não
MG;Itabirinha;CONECTA CARGO;Não
MG;Nova Serrana;CONECTA CARGO;Não
MG;Bocaina de Minas;CONECTA CARGO;Não
MG;Bocaiúva;CONECTA CARGO;Não
MG;Bom Despacho;CONECTA CARGO;Não
MG;Bom Jardim de Minas;CONECTA CARGO;Não
MG;Bom Jesus da Penha;CONECTA CARGO;Não
MG;Urucânia;CONECTA CARGO;Não
MG;Bom Jesus do Amparo;CONECTA CARGO;Não
MG;Divino;CONECTA CARGO;Não
MG;Bom Jesus do Galho;CONECTA CARGO;Não
MG;Fervedouro;CONECTA CARGO;Não
MG;Resplendor;CONECTA CARGO;Não
MG;Bom Repouso;CONECTA CARGO;Não
MG;Santa Bárbara do Tugúrio;CONECTA CARGO;Não
MG;Bom Sucesso;CONECTA CARGO;Não
MG;Patos de Minas;AGMX OPORTUNIDA;Sim
MG;Ibiracatu;CONECTA CARGO;Não
MG;Bonfim;CONECTA CARGO;Não
MG;Bonfinópolis de Minas;CONECTA CARGO;Não
MG;Bonito de Minas;CONECTA CARGO;Não
MG;Ferros;CONECTA CARGO;Não
MG;Borda da Mata;CONECTA CARGO;Não
MG;Botelhos;MOVEIS CAMILO L;Sim
MG;Brás Pires;CONECTA CARGO;Não
MG;Brasilândia de Minas;CONECTA CARGO;Não
MG;Brazópolis;CONECTA CARGO;Não
MG;Braúnas;CONECTA CARGO;Não
MG;Conceição do Mato Dentro;CONECTA CARGO;Não
MG;Cruzeiro da Fortaleza;CONECTA CARGO;Não
MG;Januária;CONECTA CARGO;Não
MG;Brumadinho;CONECTA CARGO;Não
MG;Conselheiro Lafaiete;CONECTA CARGO;Não
MG;Bueno Brandão;CONECTA CARGO;Não
MG;Buenópolis;CONECTA CARGO;Não
MG;Bugre;CONECTA CARGO;Não
MG;Buritis;CONECTA CARGO;Não
MG;Buritizeiro;CONECTA CARGO;Não
MG;João Pinheiro;CONECTA CARGO;Não
MG;Cabeceira Grande;CONECTA CARGO;Não
MG;Cabo Verde;MOVEIS CAMILO L;Sim
MG;Turmalina;CONECTA CARGO;Não
MG;Capitão Enéas;CONECTA CARGO;Não
MG;Cachoeira da Prata;CONECTA CARGO;Não
MG;Cachoeira de Minas;CONECTA CARGO;Não
MG;Cachoeira de Pajeú;CONECTA CARGO;Não
MG;Viçosa;CONECTA CARGO;Não
MG;Rio Manso;CONECTA CARGO;Não
MG;Cachoeira Dourada;CONECTA CARGO;Não
MG;Córrego Danta;CONECTA CARGO;Não
MG;Caetanópolis;CONECTA CARGO;Não
MG;Juiz de Fora;CONECTA CARGO;Não
MG;Caiana;CONECTA CARGO;Não
MG;Pirapetinga;CONECTA CARGO;Não
MG;Cajuri;CONECTA CARGO;Não
MG;Caldas;CONECTA CARGO;Não
MG;Camacho;CONECTA CARGO;Não
MG;Camanducaia;CONECTA CARGO;Não
MG;Cambuí;CONECTA CARGO;Não
MG;Cambuquira;CONECTA CARGO;Não
MG;Campanário;CONECTA CARGO;Não
MG;Campanha;CONECTA CARGO;Não
MG;Campestre;MOVEIS CAMILO L;Sim
MG;Campina Verde;CONECTA CARGO;Não
MG;Campo Azul;CONECTA CARGO;Não
MG;Campo Belo;CONECTA CARGO;Não
MG;Campo do Meio;CONECTA CARGO;Não
MG;Campo Florido;CONECTA CARGO;Não
MG;Varzelândia;CONECTA CARGO;Não
MG;Campos Altos;AGMX OPORTUNIDA;Sim
MG;Campos Gerais;CONECTA CARGO;Não
MG;Cana Verde;CONECTA CARGO;Não
MG;Canaã;CONECTA CARGO;Não
MG;Francisco Sá;CONECTA CARGO;Não
MG;Canápolis;AGMX OPORTUNIDA;Sim
MG;Tiros;CONECTA CARGO;Não
MG;Candeias;CONECTA CARGO;Não
MG;São Gonçalo do Abaeté;CONECTA CARGO;Não
MG;Cantagalo;CONECTA CARGO;Não
MG;Caparaó;CONECTA CARGO;Não
MG;Capela Nova;CONECTA CARGO;Não
MG;Capelinha;CONECTA CARGO;Não
MG;Capetinga;CONECTA CARGO;Não
MG;Capim Branco;OUTELETRO BH;Sim
MG;Capinópolis;AGMX OPORTUNIDA;Sim
MG;Montalvânia;CONECTA CARGO;Não
MG;Capitão Andrade;CONECTA CARGO;Não
MG;Capitólio;CONECTA CARGO;Não
MG;Caputira;CONECTA CARGO;Não
MG;Caraí;CONECTA CARGO;Não
MG;Caranaíba;CONECTA CARGO;Não
MG;Carandaí;CONECTA CARGO;Não
MG;Caratinga;CONECTA CARGO;Não
MG;Carbonita;CONECTA CARGO;Não
MG;Santana do Riacho;CONECTA CARGO;Não
MG;Careaçu;CONECTA CARGO;Não
MG;São João Nepomuceno;CONECTA CARGO;Não
MG;Carlos Chagas;CONECTA CARGO;Não
MG;Carmésia;CONECTA CARGO;Não
MG;Carmo da Cachoeira;CONECTA CARGO;Não
MG;Carmo da Mata;CONECTA CARGO;Não
MG;Carmo de Minas;CONECTA CARGO;Não
MG;Carmo do Cajuru;CONECTA CARGO;Não
MG;Carmo do Paranaíba;CONECTA CARGO;Não
MG;Carmo do Rio Claro;CONECTA CARGO;Não
MG;Carmópolis de Minas;CONECTA CARGO;Não
MG;Carneirinho;CONECTA CARGO;Não
MG;Carrancas;CONECTA CARGO;Não
MG;Carvalhópolis;CONECTA CARGO;Não
MG;Carvalhos;CONECTA CARGO;Não
MG;Casa Grande;CONECTA CARGO;Não
MG;Cascalho Rico;CONECTA CARGO;Não
MG;Cássia;CONECTA CARGO;Não
MG;Santo Antônio do Jacinto;CONECTA CARGO;Não
MG;Catas Altas;CONECTA CARGO;Não
MG;Catas Altas da Noruega;CONECTA CARGO;Não
MG;Serra do Salitre;CONECTA CARGO;Não
MG;Catuji;CONECTA CARGO;Não
MG;Tombos;CONECTA CARGO;Não
MG;Caxambu;CONECTA CARGO;Não
MG;Cedro do Abaeté;CONECTA CARGO;Não
MG;Mutum;CONECTA CARGO;Não
MG;Central de Minas;CONECTA CARGO;Não
MG;Divino das Laranjeiras;CONECTA CARGO;Não
MG;Centralina;CONECTA CARGO;Não
MG;Chácara;CONECTA CARGO;Não
MG;Chalé;CONECTA CARGO;Não
MG;Estrela do Sul;CONECTA CARGO;Não
MG;Chapada do Norte;CONECTA CARGO;Não
MG;Chapada Gaúcha;CONECTA CARGO;Não
MG;Santa Vitória;CONECTA CARGO;Não
MG;Chiador;CONECTA CARGO;Não
MG;Cipotânea;CONECTA CARGO;Não
MG;Palma;CONECTA CARGO;Não
MG;Claraval;CONECTA CARGO;Não
MG;Vazante;CONECTA CARGO;Não
MG;Claro dos Poções;CONECTA CARGO;Não
MG;Cláudio;CONECTA CARGO;Não
MG;Moeda;CONECTA CARGO;Não
MG;Coimbra;CONECTA CARGO;Não
MG;Coluna;CONECTA CARGO;Não
MG;Comendador Gomes;CONECTA CARGO;Não
MG;Conceição da Aparecida;CONECTA CARGO;Não
MG;Conceição da Barra de Minas;CONECTA CARGO;Não
MG;Gonzaga;CONECTA CARGO;Não
MG;Lima Duarte;CONECTA CARGO;Não
MG;Conceição das Alagoas;AGMX OPORTUNIDA;Sim
MG;Conceição das Pedras;CONECTA CARGO;Não
MG;Conceição de Ipanema;CONECTA CARGO;Não
MG;Dionísio;CONECTA CARGO;Não
MG;Rio Piracicaba;CONECTA CARGO;Não
MG;Coroaci;CONECTA CARGO;Não
MG;Santos Dumont;CONECTA CARGO;Não
MG;Conceição do Pará;CONECTA CARGO;Não
MG;Conceição dos Ouros;CONECTA CARGO;Não
MG;Ladainha;CONECTA CARGO;Não
MG;São João da Ponte;CONECTA CARGO;Não
MG;São Domingos do Prata;CONECTA CARGO;Não
MG;Cônego Marinho;CONECTA CARGO;Não
MG;Confins;CONECTA CARGO;Não
MG;Congonhal;MOVEIS CAMILO L;Sim
MG;Congonhas do Norte;CONECTA CARGO;Não
MG;Conquista;CONECTA CARGO;Não
MG;Diamantina;CONECTA CARGO;Não
MG;Consolação;CONECTA CARGO;Não
MG;Contagem;OUTELETRO BH;Sim
MG;Itamarandiba;CONECTA CARGO;Não
MG;Corinto;CONECTA CARGO;Não
MG;Coqueiral;CONECTA CARGO;Não
MG;Cordisburgo;CONECTA CARGO;Não
MG;Cordislândia;CONECTA CARGO;Não
MG;Coronel Fabriciano;CONECTA CARGO;Não
MG;Coronel Murta;CONECTA CARGO;Não
MG;Coronel Pacheco;CONECTA CARGO;Não
MG;Coronel Xavier Chaves;CONECTA CARGO;Não
MG;Córrego do Bom Jesus;CONECTA CARGO;Não
MG;Córrego Fundo;CONECTA CARGO;Não
MG;Córrego Novo;CONECTA CARGO;Não
MG;Guanhães;CONECTA CARGO;Não
MG;Paraisópolis;CONECTA CARGO;Não
MG;Couto de Magalhães de Minas;CONECTA CARGO;Não
MG;Ouro Fino;CONECTA CARGO;Não
MG;Crisólita;CONECTA CARGO;Não
MG;Cristais;CONECTA CARGO;Não
MG;Cristália;CONECTA CARGO;Não
MG;Cristiano Otoni;CONECTA CARGO;Não
MG;Cristina;CONECTA CARGO;Não
MG;Crucilândia;CONECTA CARGO;Não
MG;Uberlândia;AGMX OPORTUNIDA;Sim
MG;Cruzília;CONECTA CARGO;Não
MG;Cuparaque;CONECTA CARGO;Não
MG;Curral de Dentro;CONECTA CARGO;Não
MG;Datas;CONECTA CARGO;Não
MG;Delfim Moreira;CONECTA CARGO;Não
MG;Delta;CONECTA CARGO;Não
MG;Serro;CONECTA CARGO;Não
MG;Descoberto;CONECTA CARGO;Não
MG;Sacramento;AGMX OPORTUNIDA;Sim
MG;Desterro de Entre Rios;CONECTA CARGO;Não
MG;Desterro do Melo;CONECTA CARGO;Não
MG;Ubá;CONECTA CARGO;Não
MG;Diogo de Vasconcelos;CONECTA CARGO;Não
MG;Divinésia;CONECTA CARGO;Não
MG;Virgolândia;CONECTA CARGO;Não
MG;Divinolândia de Minas;CONECTA CARGO;Não
MG;Divinópolis;CONECTA CARGO;Não
MG;Divisa Alegre;CONECTA CARGO;Não
MG;Divisa Nova;CONECTA CARGO;Não
MG;Divisópolis;CONECTA CARGO;Não
MG;Palmópolis;CONECTA CARGO;Não
MG;Dom Bosco;CONECTA CARGO;Não
MG;Dom Cavati;CONECTA CARGO;Não
MG;Dom Joaquim;CONECTA CARGO;Não
MG;Dom Silvério;CONECTA CARGO;Não
MG;Dom Viçoso;CONECTA CARGO;Não
MG;Dona Euzébia;CONECTA CARGO;Não
MG;Miraí;CONECTA CARGO;Não
MG;Dores de Campos;CONECTA CARGO;Não
MG;Dores de Guanhães;CONECTA CARGO;Não
MG;Dores do Indaiá;CONECTA CARGO;Não
MG;Dores do Turvo;CONECTA CARGO;Não
MG;Doresópolis;CONECTA CARGO;Não
MG;Machado;MOVEIS CAMILO L;Sim
MG;Douradoquara;CONECTA CARGO;Não
MG;Jequitibá;CONECTA CARGO;Não
MG;Durandé;CONECTA CARGO;Não
MG;Itanhomi;CONECTA CARGO;Não
MG;Elói Mendes;CONECTA CARGO;Não
MG;Engenheiro Caldas;CONECTA CARGO;Não
MG;Engenheiro Navarro;CONECTA CARGO;Não
MG;Mar de Espanha;CONECTA CARGO;Não
MG;Entre Folhas;CONECTA CARGO;Não
MG;Entre Rios de Minas;CONECTA CARGO;Não
MG;Montes Claros;AGMX OPORTUNIDA;Sim
MG;Ervália;CONECTA CARGO;Não
MG;Esmeraldas;OUTELETRO BH;Sim
MG;Espera Feliz;CONECTA CARGO;Não
MG;Espinosa;CONECTA CARGO;Não
MG;Espírito Santo do Dourado;CONECTA CARGO;Não
MG;Luz;CONECTA CARGO;Não
MG;Estiva;CONECTA CARGO;Não
MG;Jordânia;CONECTA CARGO;Não
MG;Eugenópolis;CONECTA CARGO;Não
MG;Sabinópolis;CONECTA CARGO;Não
MG;Ewbank da Câmara;CONECTA CARGO;Não
MG;Extrema;CONECTA CARGO;Não
MG;Fama;CONECTA CARGO;Não
MG;Faria Lemos;CONECTA CARGO;Não
MG;Santana de Pirapama;CONECTA CARGO;Não
MG;Felício dos Santos;CONECTA CARGO;Não
MG;Felisburgo;CONECTA CARGO;Não
MG;Felixlândia;CONECTA CARGO;Não
MG;Fernandes Tourinho;CONECTA CARGO;Não
MG;São Gonçalo do Sapucaí;CONECTA CARGO;Não
MG;Salinas;CONECTA CARGO;Não
MG;Gurinhatã;CONECTA CARGO;Não
MG;Florestal;CONECTA CARGO;Não
MG;Formoso;CONECTA CARGO;Não
MG;Fortaleza de Minas;CONECTA CARGO;Não
MG;Fortuna de Minas;CONECTA CARGO;Não
MG;Francisco Badaró;CONECTA CARGO;Não
MG;Francisco Dumont;CONECTA CARGO;Não
MG;Frei Gaspar;CONECTA CARGO;Não
MG;Frei Inocêncio;CONECTA CARGO;Não
MG;Frei Lagonegro;CONECTA CARGO;Não
MG;Morada Nova de Minas;CONECTA CARGO;Não
MG;Itambacuri;CONECTA CARGO;Não
MG;Fronteira;CONECTA CARGO;Não
MG;Fronteira dos Vales;CONECTA CARGO;Não
MG;Fruta de Leite;CONECTA CARGO;Não
MG;São Gotardo;AGMX OPORTUNIDA;Sim
MG;Funilândia;CONECTA CARGO;Não
MG;Presidente Olegário;CONECTA CARGO;Não
MG;Galiléia;CONECTA CARGO;Não
MG;Gameleiras;CONECTA CARGO;Não
MG;Unaí;CONECTA CARGO;Não
MG;Glaucilândia;CONECTA CARGO;Não
MG;Santa Maria do Suaçuí;CONECTA CARGO;Não
MG;Goiabeira;CONECTA CARGO;Não
MG;Goianá;CONECTA CARGO;Não
MG;Gonçalves;CONECTA CARGO;Não
MG;Porteirinha;CONECTA CARGO;Não
MG;Gouveia;CONECTA CARGO;Não
MG;Jequeri;CONECTA CARGO;Não
MG;Grupiara;CONECTA CARGO;Não
MG;Várzea da Palma;CONECTA CARGO;Não
MG;Paraguaçu;MOVEIS CAMILO L;Sim
MG;Guaraciaba;CONECTA CARGO;Não
MG;Guaraciama;CONECTA CARGO;Não
MG;Guaranésia;CONECTA CARGO;Não
MG;Guarani;CONECTA CARGO;Não
MG;Jequitinhonha;CONECTA CARGO;Não
MG;Guarará;CONECTA CARGO;Não
MG;Guarda-Mor;CONECTA CARGO;Não
MG;Guaxupé;CONECTA CARGO;Não
MG;Guidoval;CONECTA CARGO;Não
MG;Guimarânia;CONECTA CARGO;Não
MG;Guiricema;CONECTA CARGO;Não
MG;Heliodora;CONECTA CARGO;Não
MG;Iapu;CONECTA CARGO;Não
MG;Ibertioga;CONECTA CARGO;Não
MG;Ibiaí;CONECTA CARGO;Não
MG;Ibiraci;CONECTA CARGO;Não
MG;Ibirité;OUTELETRO BH;Sim
MG;Ibitiúra de Minas;MOVEIS CAMILO L;Sim
MG;Ibituruna;CONECTA CARGO;Não
MG;Icaraí de Minas;CONECTA CARGO;Não
MG;Igarapé;OUTELETRO BH;Sim
MG;Iguatama;CONECTA CARGO;Não
MG;Ijaci;CONECTA CARGO;Não
MG;Ilicínea;CONECTA CARGO;Não
MG;Imbé de Minas;CONECTA CARGO;Não
MG;Inconfidentes;CONECTA CARGO;Não
MG;Indaiabira;CONECTA CARGO;Não
MG;Indianópolis;CONECTA CARGO;Não
MG;Ingaí;CONECTA CARGO;Não
MG;Inhapim;CONECTA CARGO;Não
MG;Inhaúma;CONECTA CARGO;Não
MG;Inimutaba;CONECTA CARGO;Não
MG;Ipaba;CONECTA CARGO;Não
MG;Ipanema;CONECTA CARGO;Não
MG;Ipiaçu;AGMX OPORTUNIDA;Sim
MG;Itabira;CONECTA CARGO;Não
MG;Ipuiúna;MOVEIS CAMILO L;Sim
MG;Iraí de Minas;AGMX OPORTUNIDA;Sim
MG;Santa Rita de Jacutinga;CONECTA CARGO;Não
MG;Itacambira;CONECTA CARGO;Não
MG;Itacarambi;CONECTA CARGO;Não
