,
Taxa,JUN
 Safari,10%
 Saldão,10%
 Movel Service,10%
 Real Moweis,10%
 Tarcis Marques,10%
 LOGME (LIFE AMBIENTAL),10%
 KMAN,10%
 Outeletro,10%
 Ponto Mix (AGMX),10%
 ORC MOVEIS E EL ( Comercial Agrov),10%
 E S L KOSLYK CO (Ebenezer),10%
 JEV,10%
 Outlet D Tudo,10%
 Topa Tudo ,10%
 MEGA MULTI OUTLET,10%
 MOVEIS CAMILO,10%
 Eletroshow,10%
 Almeida (SEBASTIAO FIRMI),10%
 Pontasso Saldão (TRINDADE & CUBA),10%
 TANIA AOKI OUTL,10%
 Di Casa (51.202.932 FRAN),10%
